PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,Payment,EXCEEDS_ROUNDED_NOTIONAL_AMOUNT,CANCEL,CORRECT,NEW,Number_of_observations,CANCEL_ONLY,CORRECT_ONLY,NEW_ONLY
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
104.5390354748604,22298156.424581006,2331865381.340782,6,16,13,150.0,179,3,13,134.0
109.00562544117642,22386893.203883495,2399035558.2352943,4,21,11,174.0,204,10,11,153.0
103.64585323699424,26411069.36416185,2737086799.7398844,9,16,3,154.0,173,13,3,138.0
104.14596445229681,24012190.812720846,2489397201.943463,12,28,9,246.0,283,19,9,218.0
115.03017108786611,19424267.78242678,2627159286.6108785,7,23,7,209.0,239,16,7,186.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
103.82278980582525,25841213.59223301,2681581428.1553397,7,39,2,165.0,206,37,2,126.0
102.88136856573692,22008366.533864543,2263679848.6055775,8,40,1,210.0,251,39,1,170.0
103.17617488888884,21115925.925925925,2179817216.5555553,10,39,6,225.0,270,33,6,186.0
118.18971420560739,23102803.738317758,2594650891.1214952,5,37,5,172.0,214,32,5,135.0
121.59792428571423,20948571.42857143,3183522466.18,7,31,4,140.0,175,27,4,109.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
106.24887090361445,21183795.180722892,2232015415.5120482,5,73,73,82.0,166,0,73,9.0
108.40248,21444526.315789472,2290147533.9473686,1,9,2,84.0,95,7,2,75.0
110.80320104529605,19222055.74912892,2059982931.4285715,7,31,4,252.0,287,27,4,221.0
104.89956698412698,23012031.746031746,2376917473.968254,6,36,13,266.0,315,23,13,230.0
108.2572279807691,26259615.384615384,3199130940.8653846,7,66,10,236.0,312,56,10,170.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
101.10008244755248,20250244.755244754,2045136839.2307692,0,33,6,247.0,286,27,6,214.0
101.76017163179925,20765188.284518827,2114433178.4518828,6,28,24,187.0,239,4,24,159.0
102.75099647840526,21734534.88372093,2232523549.7093024,7,49,8,244.0,301,41,8,195.0
103.33181062500007,19094088.541666668,1973591158.9192708,3,23,5,164.0,192,18,5,141.0
118.08119773480668,20740331.491712708,3467188549.723757,6,19,4,158.0,181,15,4,139.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
99.49862999999995,23352962.962962963,2330936398.4444447,4,20,20,103.0,135,0,20,83.0
103.05557777777767,11807638.888888888,1219173042.3611112,2,9,0,207.0,216,9,0,198.0
95.42676286885244,15991393.44262295,1355236601.8852458,1,8,3,111.0,122,5,3,103.0
,,,0,0,0,0.0,0,0,0,0.0
103.02859880434781,17456521.739130434,1798795285.8695652,0,5,1,86.0,92,4,1,81.0
,,,0,0,0,0.0,0,0,0,0.0
,,,0,0,0,0.0,0,0,0,0.0
113.03355238095241,22878174.603174604,3313421357.0436506,7,8,2,116.0,126,6,2,108.0
104.34768394495416,19073394.495412845,1992432452.7522936,0,4,1,104.0,109,3,1,100.0
104.14367275000002,15050000.0,1571123019.5833333,2,1,1,118.0,120,0,1,117.0
